"","Units","scenario","region","gcam-consumer","year","value","Scenario","climate"
"8666","None Specified","Reference","Argentina","FoodDemand_Group10",2090,61.2694,"BaseMult","None"
"8667","None Specified","Reference","Argentina","FoodDemand_Group10",2095,63.994,"BaseMult","None"
"8668","None Specified","Reference","Argentina","FoodDemand_Group10",2100,67.1274,"BaseMult","None"
"8669","None Specified","Reference","Argentina","FoodDemand_Group2",1975,2.08735,"BaseMult","None"
"8670","None Specified","Reference","Argentina","FoodDemand_Group2",1990,1.18685,"BaseMult","None"
"8671","None Specified","Reference","Argentina","FoodDemand_Group2",2005,1.6968,"BaseMult","None"
"8672","None Specified","Reference","Argentina","FoodDemand_Group2",2010,2.23572,"BaseMult","None"
"8673","None Specified","Reference","Argentina","FoodDemand_Group2",2015,2.2279,"BaseMult","None"
"8674","None Specified","Reference","Argentina","FoodDemand_Group2",2020,2.2702,"BaseMult","None"
"8675","None Specified","Reference","Argentina","FoodDemand_Group2",2025,2.63202,"BaseMult","None"
"8676","None Specified","Reference","Argentina","FoodDemand_Group2",2030,3.00674,"BaseMult","None"
"8677","None Specified","Reference","Argentina","FoodDemand_Group2",2035,3.4065,"BaseMult","None"
"8678","None Specified","Reference","Argentina","FoodDemand_Group2",2040,3.80761,"BaseMult","None"
"8679","None Specified","Reference","Argentina","FoodDemand_Group2",2045,4.25119,"BaseMult","None"
"8680","None Specified","Reference","Argentina","FoodDemand_Group2",2050,4.78691,"BaseMult","None"
"8681","None Specified","Reference","Argentina","FoodDemand_Group2",2055,5.39881,"BaseMult","None"
"8682","None Specified","Reference","Argentina","FoodDemand_Group2",2060,6.06584,"BaseMult","None"
"8683","None Specified","Reference","Argentina","FoodDemand_Group2",2065,6.84036,"BaseMult","None"
"8684","None Specified","Reference","Argentina","FoodDemand_Group2",2070,7.6824,"BaseMult","None"
"8685","None Specified","Reference","Argentina","FoodDemand_Group2",2075,8.5968,"BaseMult","None"
"8686","None Specified","Reference","Argentina","FoodDemand_Group2",2080,9.53279,"BaseMult","None"
"8687","None Specified","Reference","Argentina","FoodDemand_Group2",2085,10.4784,"BaseMult","None"
"8688","None Specified","Reference","Argentina","FoodDemand_Group2",2090,11.4562,"BaseMult","None"
"8689","None Specified","Reference","Argentina","FoodDemand_Group2",2095,12.5083,"BaseMult","None"
"8690","None Specified","Reference","Argentina","FoodDemand_Group2",2100,13.5344,"BaseMult","None"
"8691","None Specified","Reference","Argentina","FoodDemand_Group3",1975,2.69526,"BaseMult","None"
"8692","None Specified","Reference","Argentina","FoodDemand_Group3",1990,1.50335,"BaseMult","None"
"8693","None Specified","Reference","Argentina","FoodDemand_Group3",2005,2.37723,"BaseMult","None"
"8694","None Specified","Reference","Argentina","FoodDemand_Group3",2010,2.95803,"BaseMult","None"
"8695","None Specified","Reference","Argentina","FoodDemand_Group3",2015,3.06229,"BaseMult","None"
"8696","None Specified","Reference","Argentina","FoodDemand_Group3",2020,2.98587,"BaseMult","None"
"8697","None Specified","Reference","Argentina","FoodDemand_Group3",2025,3.44734,"BaseMult","None"
"8698","None Specified","Reference","Argentina","FoodDemand_Group3",2030,3.9325,"BaseMult","None"
"8699","None Specified","Reference","Argentina","FoodDemand_Group3",2035,4.44683,"BaseMult","None"
"8700","None Specified","Reference","Argentina","FoodDemand_Group3",2040,4.96127,"BaseMult","None"
"8701","None Specified","Reference","Argentina","FoodDemand_Group3",2045,5.52008,"BaseMult","None"
"8702","None Specified","Reference","Argentina","FoodDemand_Group3",2050,6.17925,"BaseMult","None"
"8703","None Specified","Reference","Argentina","FoodDemand_Group3",2055,6.92287,"BaseMult","None"
"8704","None Specified","Reference","Argentina","FoodDemand_Group3",2060,7.72839,"BaseMult","None"
"8705","None Specified","Reference","Argentina","FoodDemand_Group3",2065,8.65037,"BaseMult","None"
"8706","None Specified","Reference","Argentina","FoodDemand_Group3",2070,9.64428,"BaseMult","None"
"8707","None Specified","Reference","Argentina","FoodDemand_Group3",2075,10.7146,"BaseMult","None"
"8708","None Specified","Reference","Argentina","FoodDemand_Group3",2080,11.811,"BaseMult","None"
"8709","None Specified","Reference","Argentina","FoodDemand_Group3",2085,12.9223,"BaseMult","None"
"8710","None Specified","Reference","Argentina","FoodDemand_Group3",2090,14.0732,"BaseMult","None"
"8711","None Specified","Reference","Argentina","FoodDemand_Group3",2095,15.3052,"BaseMult","None"
"8712","None Specified","Reference","Argentina","FoodDemand_Group3",2100,16.5126,"BaseMult","None"
"8713","None Specified","Reference","Argentina","FoodDemand_Group4",1975,3.27246,"BaseMult","None"
"8714","None Specified","Reference","Argentina","FoodDemand_Group4",1990,1.91874,"BaseMult","None"
"8715","None Specified","Reference","Argentina","FoodDemand_Group4",2005,2.94947,"BaseMult","None"
"8716","None Specified","Reference","Argentina","FoodDemand_Group4",2010,3.75945,"BaseMult","None"
"8717","None Specified","Reference","Argentina","FoodDemand_Group4",2015,3.89027,"BaseMult","None"
"8718","None Specified","Reference","Argentina","FoodDemand_Group4",2020,3.68771,"BaseMult","None"
"8719","None Specified","Reference","Argentina","FoodDemand_Group4",2025,4.24501,"BaseMult","None"
"8720","None Specified","Reference","Argentina","FoodDemand_Group4",2030,4.83695,"BaseMult","None"
"8721","None Specified","Reference","Argentina","FoodDemand_Group4",2035,5.46118,"BaseMult","None"
"8722","None Specified","Reference","Argentina","FoodDemand_Group4",2040,6.08397,"BaseMult","None"
"8723","None Specified","Reference","Argentina","FoodDemand_Group4",2045,6.7502,"BaseMult","None"
"8724","None Specified","Reference","Argentina","FoodDemand_Group4",2050,7.5201,"BaseMult","None"
"8725","None Specified","Reference","Argentina","FoodDemand_Group4",2055,8.3792,"BaseMult","None"
"8726","None Specified","Reference","Argentina","FoodDemand_Group4",2060,9.30476,"BaseMult","None"
"8727","None Specified","Reference","Argentina","FoodDemand_Group4",2065,10.3498,"BaseMult","None"
"8728","None Specified","Reference","Argentina","FoodDemand_Group4",2070,11.4679,"BaseMult","None"
"8729","None Specified","Reference","Argentina","FoodDemand_Group4",2075,12.6624,"BaseMult","None"
"8730","None Specified","Reference","Argentina","FoodDemand_Group4",2080,13.8876,"BaseMult","None"
"8731","None Specified","Reference","Argentina","FoodDemand_Group4",2085,15.1332,"BaseMult","None"
"8732","None Specified","Reference","Argentina","FoodDemand_Group4",2090,16.4251,"BaseMult","None"
"8733","None Specified","Reference","Argentina","FoodDemand_Group4",2095,17.8011,"BaseMult","None"
"8734","None Specified","Reference","Argentina","FoodDemand_Group4",2100,19.1567,"BaseMult","None"
"8735","None Specified","Reference","Argentina","FoodDemand_Group5",1975,3.87845,"BaseMult","None"
"8736","None Specified","Reference","Argentina","FoodDemand_Group5",1990,2.35392,"BaseMult","None"
"8737","None Specified","Reference","Argentina","FoodDemand_Group5",2005,3.61282,"BaseMult","None"
"8738","None Specified","Reference","Argentina","FoodDemand_Group5",2010,4.51959,"BaseMult","None"
"8739","None Specified","Reference","Argentina","FoodDemand_Group5",2015,4.78536,"BaseMult","None"
"8740","None Specified","Reference","Argentina","FoodDemand_Group5",2020,4.443,"BaseMult","None"
"8741","None Specified","Reference","Argentina","FoodDemand_Group5",2025,5.10227,"BaseMult","None"
"8742","None Specified","Reference","Argentina","FoodDemand_Group5",2030,5.80804,"BaseMult","None"
"8743","None Specified","Reference","Argentina","FoodDemand_Group5",2035,6.54872,"BaseMult","None"
"8744","None Specified","Reference","Argentina","FoodDemand_Group5",2040,7.28608,"BaseMult","None"
"8745","None Specified","Reference","Argentina","FoodDemand_Group5",2045,8.06381,"BaseMult","None"
"8746","None Specified","Reference","Argentina","FoodDemand_Group5",2050,8.94524,"BaseMult","None"
"8747","None Specified","Reference","Argentina","FoodDemand_Group5",2055,9.91852,"BaseMult","None"
"8748","None Specified","Reference","Argentina","FoodDemand_Group5",2060,10.9617,"BaseMult","None"
"8749","None Specified","Reference","Argentina","FoodDemand_Group5",2065,12.1234,"BaseMult","None"
"8750","None Specified","Reference","Argentina","FoodDemand_Group5",2070,13.357,"BaseMult","None"
"8751","None Specified","Reference","Argentina","FoodDemand_Group5",2075,14.6643,"BaseMult","None"
"8752","None Specified","Reference","Argentina","FoodDemand_Group5",2080,16.007,"BaseMult","None"
"8753","None Specified","Reference","Argentina","FoodDemand_Group5",2085,17.3767,"BaseMult","None"
"8754","None Specified","Reference","Argentina","FoodDemand_Group5",2090,18.7994,"BaseMult","None"
"8755","None Specified","Reference","Argentina","FoodDemand_Group5",2095,20.3068,"BaseMult","None"
"8756","None Specified","Reference","Argentina","FoodDemand_Group5",2100,21.8002,"BaseMult","None"
"8757","None Specified","Reference","Argentina","FoodDemand_Group6",1975,4.56475,"BaseMult","None"
"8758","None Specified","Reference","Argentina","FoodDemand_Group6",1990,2.90779,"BaseMult","None"
"8759","None Specified","Reference","Argentina","FoodDemand_Group6",2005,4.4299,"BaseMult","None"
"8760","None Specified","Reference","Argentina","FoodDemand_Group6",2010,5.59273,"BaseMult","None"
"8761","None Specified","Reference","Argentina","FoodDemand_Group6",2015,5.81667,"BaseMult","None"
"8762","None Specified","Reference","Argentina","FoodDemand_Group6",2020,5.32013,"BaseMult","None"
"8763","None Specified","Reference","Argentina","FoodDemand_Group6",2025,6.09761,"BaseMult","None"
"8764","None Specified","Reference","Argentina","FoodDemand_Group6",2030,6.93478,"BaseMult","None"
"8765","None Specified","Reference","Argentina","FoodDemand_Group6",2035,7.80922,"BaseMult","None"
"8766","None Specified","Reference","Argentina","FoodDemand_Group6",2040,8.67798,"BaseMult","None"
"8767","None Specified","Reference","Argentina","FoodDemand_Group6",2045,9.58167,"BaseMult","None"
"8768","None Specified","Reference","Argentina","FoodDemand_Group6",2050,10.586,"BaseMult","None"
"8769","None Specified","Reference","Argentina","FoodDemand_Group6",2055,11.6833,"BaseMult","None"
"8770","None Specified","Reference","Argentina","FoodDemand_Group6",2060,12.8534,"BaseMult","None"
"8771","None Specified","Reference","Argentina","FoodDemand_Group6",2065,14.1372,"BaseMult","None"
"8772","None Specified","Reference","Argentina","FoodDemand_Group6",2070,15.4899,"BaseMult","None"
"8773","None Specified","Reference","Argentina","FoodDemand_Group6",2075,16.9108,"BaseMult","None"
"8774","None Specified","Reference","Argentina","FoodDemand_Group6",2080,18.3731,"BaseMult","None"
"8775","None Specified","Reference","Argentina","FoodDemand_Group6",2085,19.8703,"BaseMult","None"
"8776","None Specified","Reference","Argentina","FoodDemand_Group6",2090,21.428,"BaseMult","None"
"8777","None Specified","Reference","Argentina","FoodDemand_Group6",2095,23.0689,"BaseMult","None"
"8778","None Specified","Reference","Argentina","FoodDemand_Group6",2100,24.7052,"BaseMult","None"
"8779","None Specified","Reference","Argentina","FoodDemand_Group7",1975,5.40563,"BaseMult","None"
"8780","None Specified","Reference","Argentina","FoodDemand_Group7",1990,3.54078,"BaseMult","None"
"8781","None Specified","Reference","Argentina","FoodDemand_Group7",2005,5.42635,"BaseMult","None"
"8782","None Specified","Reference","Argentina","FoodDemand_Group7",2010,6.81722,"BaseMult","None"
"8783","None Specified","Reference","Argentina","FoodDemand_Group7",2015,7.09679,"BaseMult","None"
"8784","None Specified","Reference","Argentina","FoodDemand_Group7",2020,6.43146,"BaseMult","None"
"8785","None Specified","Reference","Argentina","FoodDemand_Group7",2025,7.35954,"BaseMult","None"
"8786","None Specified","Reference","Argentina","FoodDemand_Group7",2030,8.36231,"BaseMult","None"
"8787","None Specified","Reference","Argentina","FoodDemand_Group7",2035,9.40443,"BaseMult","None"
"8788","None Specified","Reference","Argentina","FoodDemand_Group7",2040,10.4377,"BaseMult","None"
"8789","None Specified","Reference","Argentina","FoodDemand_Group7",2045,11.4964,"BaseMult","None"
"8790","None Specified","Reference","Argentina","FoodDemand_Group7",2050,12.6479,"BaseMult","None"
"8791","None Specified","Reference","Argentina","FoodDemand_Group7",2055,13.8913,"BaseMult","None"
"8792","None Specified","Reference","Argentina","FoodDemand_Group7",2060,15.21,"BaseMult","None"
"8793","None Specified","Reference","Argentina","FoodDemand_Group7",2065,16.6313,"BaseMult","None"
"8794","None Specified","Reference","Argentina","FoodDemand_Group7",2070,18.1163,"BaseMult","None"
"8795","None Specified","Reference","Argentina","FoodDemand_Group7",2075,19.6598,"BaseMult","None"
"8796","None Specified","Reference","Argentina","FoodDemand_Group7",2080,21.2529,"BaseMult","None"
"8797","None Specified","Reference","Argentina","FoodDemand_Group7",2085,22.8919,"BaseMult","None"
"8798","None Specified","Reference","Argentina","FoodDemand_Group7",2090,24.5998,"BaseMult","None"
"8799","None Specified","Reference","Argentina","FoodDemand_Group7",2095,26.3869,"BaseMult","None"
"8800","None Specified","Reference","Argentina","FoodDemand_Group7",2100,28.1839,"BaseMult","None"
"8801","None Specified","Reference","Argentina","FoodDemand_Group8",1975,6.53947,"BaseMult","None"
"8802","None Specified","Reference","Argentina","FoodDemand_Group8",1990,4.47048,"BaseMult","None"
"8803","None Specified","Reference","Argentina","FoodDemand_Group8",2005,6.88115,"BaseMult","None"
"8804","None Specified","Reference","Argentina","FoodDemand_Group8",2010,8.57828,"BaseMult","None"
"8805","None Specified","Reference","Argentina","FoodDemand_Group8",2015,8.84071,"BaseMult","None"
"8806","None Specified","Reference","Argentina","FoodDemand_Group8",2020,7.9875,"BaseMult","None"
"8807","None Specified","Reference","Argentina","FoodDemand_Group8",2025,9.12844,"BaseMult","None"
"8808","None Specified","Reference","Argentina","FoodDemand_Group8",2030,10.362,"BaseMult","None"
"8809","None Specified","Reference","Argentina","FoodDemand_Group8",2035,11.6365,"BaseMult","None"
"8810","None Specified","Reference","Argentina","FoodDemand_Group8",2040,12.8975,"BaseMult","None"
"8811","None Specified","Reference","Argentina","FoodDemand_Group8",2045,14.167,"BaseMult","None"
"8812","None Specified","Reference","Argentina","FoodDemand_Group8",2050,15.5129,"BaseMult","None"
"8813","None Specified","Reference","Argentina","FoodDemand_Group8",2055,16.9461,"BaseMult","None"
"8814","None Specified","Reference","Argentina","FoodDemand_Group8",2060,18.4566,"BaseMult","None"
"8815","None Specified","Reference","Argentina","FoodDemand_Group8",2065,20.0477,"BaseMult","None"
"8816","None Specified","Reference","Argentina","FoodDemand_Group8",2070,21.6929,"BaseMult","None"
"8817","None Specified","Reference","Argentina","FoodDemand_Group8",2075,23.38,"BaseMult","None"
"8818","None Specified","Reference","Argentina","FoodDemand_Group8",2080,25.1294,"BaseMult","None"
"8819","None Specified","Reference","Argentina","FoodDemand_Group8",2085,26.9409,"BaseMult","None"
"8820","None Specified","Reference","Argentina","FoodDemand_Group8",2090,28.8323,"BaseMult","None"
"8821","None Specified","Reference","Argentina","FoodDemand_Group8",2095,30.7939,"BaseMult","None"
"8822","None Specified","Reference","Argentina","FoodDemand_Group8",2100,32.79,"BaseMult","None"
"8823","None Specified","Reference","Argentina","FoodDemand_Group9",1975,8.32329,"BaseMult","None"
"8824","None Specified","Reference","Argentina","FoodDemand_Group9",1990,6.15185,"BaseMult","None"
"8825","None Specified","Reference","Argentina","FoodDemand_Group9",2005,9.50038,"BaseMult","None"
"8826","None Specified","Reference","Argentina","FoodDemand_Group9",2010,11.4503,"BaseMult","None"
"8827","None Specified","Reference","Argentina","FoodDemand_Group9",2015,11.5703,"BaseMult","None"
"8828","None Specified","Reference","Argentina","FoodDemand_Group9",2020,10.5949,"BaseMult","None"
"8829","None Specified","Reference","Argentina","FoodDemand_Group9",2025,12.1034,"BaseMult","None"
"8830","None Specified","Reference","Argentina","FoodDemand_Group9",2030,13.7232,"BaseMult","None"
"8831","None Specified","Reference","Argentina","FoodDemand_Group9",2035,15.3837,"BaseMult","None"
"8832","None Specified","Reference","Argentina","FoodDemand_Group9",2040,17.0228,"BaseMult","None"
"8833","None Specified","Reference","Argentina","FoodDemand_Group9",2045,18.6349,"BaseMult","None"
"8834","None Specified","Reference","Argentina","FoodDemand_Group9",2050,20.2861,"BaseMult","None"
"8835","None Specified","Reference","Argentina","FoodDemand_Group9",2055,22.0125,"BaseMult","None"
"8836","None Specified","Reference","Argentina","FoodDemand_Group9",2060,23.8192,"BaseMult","None"
"8837","None Specified","Reference","Argentina","FoodDemand_Group9",2065,25.6575,"BaseMult","None"
"8838","None Specified","Reference","Argentina","FoodDemand_Group9",2070,27.5337,"BaseMult","None"
"8839","None Specified","Reference","Argentina","FoodDemand_Group9",2075,29.4201,"BaseMult","None"
"8840","None Specified","Reference","Argentina","FoodDemand_Group9",2080,31.3948,"BaseMult","None"
"8841","None Specified","Reference","Argentina","FoodDemand_Group9",2085,33.4609,"BaseMult","None"
"8842","None Specified","Reference","Argentina","FoodDemand_Group9",2090,35.6235,"BaseMult","None"
"8843","None Specified","Reference","Argentina","FoodDemand_Group9",2095,37.8368,"BaseMult","None"
"8844","None Specified","Reference","Argentina","FoodDemand_Group9",2100,40.1349,"BaseMult","None"
"8845","None Specified","Reference","Australia_NZ","FoodDemand_Group1",1975,5.45281,"BaseMult","None"
"8846","None Specified","Reference","Australia_NZ","FoodDemand_Group1",1990,5.93948,"BaseMult","None"
"8847","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2005,8.65262,"BaseMult","None"
"8848","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2010,9.18353,"BaseMult","None"
"8849","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2015,9.63908,"BaseMult","None"
"8850","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2020,10.0711,"BaseMult","None"
"8851","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2025,10.6924,"BaseMult","None"
"8852","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2030,11.2224,"BaseMult","None"
"8853","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2035,11.751,"BaseMult","None"
"8854","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2040,12.3933,"BaseMult","None"
"8855","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2045,13.1043,"BaseMult","None"
"8856","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2050,13.8075,"BaseMult","None"
"8857","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2055,14.5241,"BaseMult","None"
"8858","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2060,15.3288,"BaseMult","None"
"8859","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2065,16.2484,"BaseMult","None"
"8860","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2070,17.214,"BaseMult","None"
"8861","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2075,18.2129,"BaseMult","None"
"8862","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2080,19.2626,"BaseMult","None"
"8863","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2085,20.3409,"BaseMult","None"
"8864","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2090,21.5131,"BaseMult","None"
"8865","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2095,22.8121,"BaseMult","None"
"8866","None Specified","Reference","Australia_NZ","FoodDemand_Group1",2100,24.2688,"BaseMult","None"
"8867","None Specified","Reference","Australia_NZ","FoodDemand_Group10",1975,36.5944,"BaseMult","None"
"8868","None Specified","Reference","Australia_NZ","FoodDemand_Group10",1990,60.502,"BaseMult","None"
"8869","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2005,82.7446,"BaseMult","None"
"8870","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2010,87.8181,"BaseMult","None"
"8871","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2015,97.806,"BaseMult","None"
"8872","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2020,104.555,"BaseMult","None"
"8873","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2025,112.138,"BaseMult","None"
"8874","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2030,119.726,"BaseMult","None"
"8875","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2035,126.918,"BaseMult","None"
"8876","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2040,133.918,"BaseMult","None"
"8877","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2045,141.307,"BaseMult","None"
"8878","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2050,148.295,"BaseMult","None"
"8879","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2055,155.459,"BaseMult","None"
"8880","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2060,163.835,"BaseMult","None"
"8881","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2065,173.422,"BaseMult","None"
"8882","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2070,184.104,"BaseMult","None"
"8883","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2075,195.027,"BaseMult","None"
"8884","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2080,206.371,"BaseMult","None"
"8885","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2085,218.215,"BaseMult","None"
"8886","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2090,230.766,"BaseMult","None"
"8887","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2095,244.54,"BaseMult","None"
"8888","None Specified","Reference","Australia_NZ","FoodDemand_Group10",2100,259.311,"BaseMult","None"
"8889","None Specified","Reference","Australia_NZ","FoodDemand_Group2",1975,8.82142,"BaseMult","None"
"8890","None Specified","Reference","Australia_NZ","FoodDemand_Group2",1990,9.97979,"BaseMult","None"
"8891","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2005,14.119,"BaseMult","None"
"8892","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2010,15.0593,"BaseMult","None"
"8893","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2015,15.4963,"BaseMult","None"
"8894","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2020,15.873,"BaseMult","None"
"8895","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2025,16.822,"BaseMult","None"
"8896","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2030,17.7028,"BaseMult","None"
"8897","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2035,18.6412,"BaseMult","None"
"8898","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2040,19.7343,"BaseMult","None"
"8899","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2045,20.9676,"BaseMult","None"
"8900","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2050,22.2237,"BaseMult","None"
"8901","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2055,23.5235,"BaseMult","None"
"8902","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2060,24.8931,"BaseMult","None"
"8903","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2065,26.3833,"BaseMult","None"
"8904","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2070,27.9624,"BaseMult","None"
"8905","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2075,29.596,"BaseMult","None"
"8906","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2080,31.311,"BaseMult","None"
"8907","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2085,33.0776,"BaseMult","None"
"8908","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2090,34.994,"BaseMult","None"
"8909","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2095,37.1156,"BaseMult","None"
"8910","None Specified","Reference","Australia_NZ","FoodDemand_Group2",2100,39.4841,"BaseMult","None"
"8911","None Specified","Reference","Australia_NZ","FoodDemand_Group3",1975,10.9044,"BaseMult","None"
"8912","None Specified","Reference","Australia_NZ","FoodDemand_Group3",1990,12.7328,"BaseMult","None"
"8913","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2005,17.6415,"BaseMult","None"
"8914","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2010,18.2488,"BaseMult","None"
"8915","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2015,19.2238,"BaseMult","None"
"8916","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2020,19.9306,"BaseMult","None"
"8917","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2025,21.1795,"BaseMult","None"
"8918","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2030,22.3158,"BaseMult","None"
"8919","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2035,23.4769,"BaseMult","None"
"8920","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2040,24.8729,"BaseMult","None"
"8921","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2045,26.4486,"BaseMult","None"
"8922","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2050,27.9263,"BaseMult","None"
"8923","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2055,29.3844,"BaseMult","None"
"8924","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2060,31.1344,"BaseMult","None"
"8925","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2065,33.1311,"BaseMult","None"
"8926","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2070,35.1223,"BaseMult","None"
"8927","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2075,37.1819,"BaseMult","None"
"8928","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2080,39.3427,"BaseMult","None"
"8929","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2085,41.5719,"BaseMult","None"
"8930","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2090,43.987,"BaseMult","None"
"8931","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2095,46.6587,"BaseMult","None"
"8932","None Specified","Reference","Australia_NZ","FoodDemand_Group3",2100,49.5652,"BaseMult","None"
"8933","None Specified","Reference","Australia_NZ","FoodDemand_Group4",1975,12.8367,"BaseMult","None"
"8934","None Specified","Reference","Australia_NZ","FoodDemand_Group4",1990,15.2994,"BaseMult","None"
"8935","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2005,20.9506,"BaseMult","None"
"8936","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2010,21.2495,"BaseMult","None"
"8937","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2015,22.8635,"BaseMult","None"
"8938","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2020,23.8894,"BaseMult","None"
"8939","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2025,25.4299,"BaseMult","None"
"8940","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2030,26.8219,"BaseMult","None"
"8941","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2035,28.2166,"BaseMult","None"
"8942","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2040,29.8024,"BaseMult","None"
"8943","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2045,31.5406,"BaseMult","None"
"8944","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2050,33.3542,"BaseMult","None"
"8945","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2055,35.0787,"BaseMult","None"
"8946","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2060,37.0396,"BaseMult","None"
"8947","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2065,39.3577,"BaseMult","None"
"8948","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2070,41.774,"BaseMult","None"
"8949","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2075,44.2307,"BaseMult","None"
"8950","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2080,46.8066,"BaseMult","None"
"8951","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2085,49.4676,"BaseMult","None"
"8952","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2090,52.3466,"BaseMult","None"
"8953","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2095,55.5296,"BaseMult","None"
"8954","None Specified","Reference","Australia_NZ","FoodDemand_Group4",2100,59.0792,"BaseMult","None"
"8955","None Specified","Reference","Australia_NZ","FoodDemand_Group5",1975,14.8035,"BaseMult","None"
