"","Units","scenario","region","gcam-consumer","year","value","Scenario","climate"
"138","None Specified","Reference","Brazil","FoodDemand",2020,212114,"GCAM","None"
"139","None Specified","Reference","Brazil","FoodDemand",2025,218835,"GCAM","None"
"140","None Specified","Reference","Brazil","FoodDemand",2030,224269,"GCAM","None"
"141","None Specified","Reference","Brazil","FoodDemand",2035,228418,"GCAM","None"
"142","None Specified","Reference","Brazil","FoodDemand",2040,231336,"GCAM","None"
"143","None Specified","Reference","Brazil","FoodDemand",2045,233038,"GCAM","None"
"144","None Specified","Reference","Brazil","FoodDemand",2050,233377,"GCAM","None"
"145","None Specified","Reference","Brazil","FoodDemand",2055,232304,"GCAM","None"
"146","None Specified","Reference","Brazil","FoodDemand",2060,230153,"GCAM","None"
"147","None Specified","Reference","Brazil","FoodDemand",2065,227015,"GCAM","None"
"148","None Specified","Reference","Brazil","FoodDemand",2070,223022,"GCAM","None"
"149","None Specified","Reference","Brazil","FoodDemand",2075,218264,"GCAM","None"
"150","None Specified","Reference","Brazil","FoodDemand",2080,212960,"GCAM","None"
"151","None Specified","Reference","Brazil","FoodDemand",2085,207279,"GCAM","None"
"152","None Specified","Reference","Brazil","FoodDemand",2090,201425,"GCAM","None"
"153","None Specified","Reference","Brazil","FoodDemand",2095,195525,"GCAM","None"
"154","None Specified","Reference","Brazil","FoodDemand",2100,189641,"GCAM","None"
"155","None Specified","Reference","Canada","FoodDemand",1975,23059,"GCAM","None"
"156","None Specified","Reference","Canada","FoodDemand",1990,27541,"GCAM","None"
"157","None Specified","Reference","Canada","FoodDemand",2005,32164,"GCAM","None"
"158","None Specified","Reference","Canada","FoodDemand",2010,34148,"GCAM","None"
"159","None Specified","Reference","Canada","FoodDemand",2015,36027,"GCAM","None"
"160","None Specified","Reference","Canada","FoodDemand",2020,37942,"GCAM","None"
"161","None Specified","Reference","Canada","FoodDemand",2025,39827,"GCAM","None"
"162","None Specified","Reference","Canada","FoodDemand",2030,41578,"GCAM","None"
"163","None Specified","Reference","Canada","FoodDemand",2035,43194,"GCAM","None"
"164","None Specified","Reference","Canada","FoodDemand",2040,44749,"GCAM","None"
"165","None Specified","Reference","Canada","FoodDemand",2045,46285,"GCAM","None"
"166","None Specified","Reference","Canada","FoodDemand",2050,47808,"GCAM","None"
"167","None Specified","Reference","Canada","FoodDemand",2055,49283,"GCAM","None"
"168","None Specified","Reference","Canada","FoodDemand",2060,50702,"GCAM","None"
"169","None Specified","Reference","Canada","FoodDemand",2065,51943,"GCAM","None"
"170","None Specified","Reference","Canada","FoodDemand",2070,53010,"GCAM","None"
"171","None Specified","Reference","Canada","FoodDemand",2075,53899,"GCAM","None"
"172","None Specified","Reference","Canada","FoodDemand",2080,54577,"GCAM","None"
"173","None Specified","Reference","Canada","FoodDemand",2085,55014,"GCAM","None"
"174","None Specified","Reference","Canada","FoodDemand",2090,55203,"GCAM","None"
"175","None Specified","Reference","Canada","FoodDemand",2095,55088,"GCAM","None"
"176","None Specified","Reference","Canada","FoodDemand",2100,54679,"GCAM","None"
"177","None Specified","Reference","Central America and Caribbean","FoodDemand",1975,45127,"GCAM","None"
"178","None Specified","Reference","Central America and Caribbean","FoodDemand",1990,59989,"GCAM","None"
"179","None Specified","Reference","Central America and Caribbean","FoodDemand",2005,75932,"GCAM","None"
"180","None Specified","Reference","Central America and Caribbean","FoodDemand",2010,80984,"GCAM","None"
"181","None Specified","Reference","Central America and Caribbean","FoodDemand",2015,86156,"GCAM","None"
"182","None Specified","Reference","Central America and Caribbean","FoodDemand",2020,90410,"GCAM","None"
"183","None Specified","Reference","Central America and Caribbean","FoodDemand",2025,94236,"GCAM","None"
"184","None Specified","Reference","Central America and Caribbean","FoodDemand",2030,97597,"GCAM","None"
"185","None Specified","Reference","Central America and Caribbean","FoodDemand",2035,100446,"GCAM","None"
"186","None Specified","Reference","Central America and Caribbean","FoodDemand",2040,102754,"GCAM","None"
"187","None Specified","Reference","Central America and Caribbean","FoodDemand",2045,104535,"GCAM","None"
"188","None Specified","Reference","Central America and Caribbean","FoodDemand",2050,105763,"GCAM","None"
"189","None Specified","Reference","Central America and Caribbean","FoodDemand",2055,106465,"GCAM","None"
"190","None Specified","Reference","Central America and Caribbean","FoodDemand",2060,106650,"GCAM","None"
"191","None Specified","Reference","Central America and Caribbean","FoodDemand",2065,106558,"GCAM","None"
"192","None Specified","Reference","Central America and Caribbean","FoodDemand",2070,106227,"GCAM","None"
"193","None Specified","Reference","Central America and Caribbean","FoodDemand",2075,105638,"GCAM","None"
"194","None Specified","Reference","Central America and Caribbean","FoodDemand",2080,104841,"GCAM","None"
"195","None Specified","Reference","Central America and Caribbean","FoodDemand",2085,103819,"GCAM","None"
"196","None Specified","Reference","Central America and Caribbean","FoodDemand",2090,102640,"GCAM","None"
"197","None Specified","Reference","Central America and Caribbean","FoodDemand",2095,101344,"GCAM","None"
"198","None Specified","Reference","Central America and Caribbean","FoodDemand",2100,99983,"GCAM","None"
"199","None Specified","Reference","Central Asia","FoodDemand",1975,51975,"GCAM","None"
"200","None Specified","Reference","Central Asia","FoodDemand",1990,68498,"GCAM","None"
"201","None Specified","Reference","Central Asia","FoodDemand",2005,76706,"GCAM","None"
