"","L106.income_distributions.region","L106.income_distributions.gcam.consumer","L106.income_distributions.subregional.population.share","L106.income_distributions.subregional.income.share","L106.income_distributions.year"
"249","India","d2",0.1,0.011310127,2035
"250","South Asia","d6",0.1,0.07966707,1990
"251","Central Asia","d1",0.1,0.018321843,1990
"252","Pakistan","d1",0.1,0.032876089,2025
"253","Southeast Asia","d3",0.1,0.027142907,1990
"254","Africa_Eastern","d5",0.1,0.062715463,2020
"255","Africa_Eastern","d6",0.1,0.064323225,2015
"256","Africa_Eastern","d4",0.1,0.051813343,2025
"257","Africa_Southern","d5",0.1,0.043879872,2010
"258","South America_Southern","d1",0.1,0.010973418,2010
"259","South Africa","d1",0.1,0.004548046,2045
"260","South Asia","d3",0.1,0.045137546,2010
"261","Africa_Western","d6",0.1,0.060827743,1990
"262","Pakistan","d4",0.1,0.066474373,1975
"263","Africa_Northern","d1",0.1,0.016860085,1975
"264","Africa_Western","d4",0.1,0.044258204,2020
"265","China","d6",0.1,0.081542112,1990
"266","India","d1",0.1,0.028932391,2010
"267","Africa_Southern","d5",0.1,0.044661698,2015
"268","South Africa","d2",0.1,0.011928225,2005
"269","South Asia","d3",0.1,0.043618967,2015
"270","Brazil","d1",0.1,0.01080054,2005
"271","Africa_Eastern","d7",0.1,0.077162347,2005
"272","Africa_Southern","d6",0.1,0.054453085,2005
"273","Africa_Southern","d3",0.1,0.03001596,2035
"274","Africa_Western","d6",0.1,0.06654156,1975
"275","South Asia","d1",0.1,0.020063782,2040
"276","South Asia","d5",0.1,0.060038967,2005
"277","Southeast Asia","d1",0.1,0.013205127,2025
"278","India","d8",0.1,0.113926729,1975
"279","China","d7",0.1,0.1038611,1975
"280","Africa_Western","d5",0.1,0.050996924,2005
"281","South Asia","d3",0.1,0.044469943,2020
"282","India","d4",0.1,0.071427688,1990
"283","Central Asia","d2",0.1,0.021380707,2005
"284","Central America and Caribbean","d1",0.1,0.009300095,2040
"285","Indonesia","d3",0.1,0.051607209,1975
"286","India","d2",0.1,0.010627443,2040
"287","South Africa","d2",0.1,0.011181938,2015
"288","Africa_Eastern","d1",0.1,0.019815425,2050
"289","Pakistan","d1",0.1,0.03194473,2015
"290","Southeast Asia","d1",0.1,0.014241824,2015
"291","Pakistan","d1",0.1,0.033014999,2010
"292","Brazil","d2",0.1,0.015975666,1975
"293","Europe_Non_EU","d1",0.1,0.01791076,1975
"294","South Africa","d1",0.1,0.004534621,2050
"295","India","d1",0.1,0.004070845,2075
"296","Middle East","d1",0.1,0.009289913,2020
"297","India","d3",0.1,0.025161667,2020
"298","Colombia","d1",0.1,0.011034875,2020
"299","Central America and Caribbean","d2",0.1,0.016839959,2020
"300","South Asia","d7",0.1,0.093080185,1990
"301","Africa_Southern","d2",0.1,0.023416169,2045
"302","Central America and Caribbean","d2",0.1,0.018608291,2015
"303","Central Asia","d1",0.1,0.014251828,2020
"304","Africa_Eastern","d2",0.1,0.03236859,2040
"305","Africa_Southern","d4",0.1,0.037268613,2030
"306","Pakistan","d5",0.1,0.075972986,1975
"307","Colombia","d3",0.1,0.025563783,1975
"308","Pakistan","d3",0.1,0.048077372,1990
"309","Africa_Western","d1",0.1,0.01523136,2050
"310","Mexico","d2",0.1,0.01552781,1975
"311","Africa_Southern","d7",0.1,0.07538736,1990
"312","South Asia","d2",0.1,0.031565674,2030
"313","China","d7",0.1,0.093621538,1990
